Designator,Footprint,Quantity,Value,LCSC Part #
+ BAT -,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Battery,
ANT,U.FL_Molex_MCRF_73412-0110_Vertical,1,ANT,
"C1, C9",1206,2,1uF,
"C10, C11, C2",1206,3,100nF,
C3,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,1,22uF,
"C4, C5, C6, C7, C8",1206,5,10uF,
CONFIG RESET,SW_PUSH_6mm_H5mm,1,WEB_CONF,
EXTERNAL CONTROL,JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical,1,remote_header,
"J5, J6",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,
PROG,SW_PUSH_6mm_H5mm,1,ESP Program,
"R1, R2, R3",1206,3,10K,
R4,1206,1,100k,
"R5, R6",1206,2,2.2K,
RESET,SW_PUSH_6mm_H5mm,1,RESET,
SOIL SENSOR,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,SOIL_SENSOR,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32D,
"U2, U3",SOT-23-5,2,XC6220B331MR,
U4,SOT-23,1,TPS3839DBZ,
U5,HOPERF_RFM9XW_SMD,1,RFM95W-915S2,
U6,SON50P200X200X80-9N,1,MAX17048G_T10,
