Designator,Mid X,Mid Y,Rotation,Layer
+ BAT -,109.31,-61.425,0.0,top
ANT,147.425,-98.95,180.0,top
C1,108.67,-92.43,0.0,top
C10,110.39,-69.09,0.0,top
C11,116.04,-69.11,0.0,top
C2,80.88,-98.46,180.0,top
C3,81.145,-93.78,0.0,top
C4,103.8875,-68.21,180.0,top
C5,103.9775,-78.66,180.0,top
C6,110.11,-75.4725,270.0,top
C7,127.41,-75.36,90.0,top
C8,151.22,-87.33,90.0,top
C9,143.71,-68.76,180.0,top
CONFIG RESET,143.54,-61.91,180.0,top
EXTERNAL CONTROL,125.87,-61.425,0.0,top
J5,91.276505,-59.846868,90.0,top
J6,91.276505,-103.17,90.0,top
PROG,122.18,-99.38,0.0,top
R1,103.91,-93.92,90.0,top
R2,143.68,-71.5,0.0,top
R3,122.11,-70.08,270.0,top
R4,122.38,-75.5,90.0,top
R5,129.02,-68.51,90.0,top
R6,132.73,-72.95,90.0,top
RESET,111.06,-99.4,180.0,top
SOIL SENSOR,133.37,-99.685,0.0,top
U1,87.57,-81.16,90.0,top
U2,104.56,-73.4425,90.0,top
U3,116.0375,-79.6,180.0,top
U4,102.92,-87.4175,270.0,top
U5,139.875,-85.5,0.0,top
U6,115.075,-73.48,0.0,top
